#lenk          enk(meV)       PAM  Sxy            Syz            Szx
   3.4937843167   7.5935273030  0.0   0.0000000000  -0.2213454767   0.3833824182
   3.5045557129   7.5115628866  0.0   0.0000000000  -0.2154143167   0.3731093479
   3.5153271090   7.4297167858  0.0   0.0000000000  -0.2083724385   0.3609124602
   3.5260985051   7.3486424965  0.0   0.0000000000  -0.2003377426   0.3469959640
   3.5368699013   7.2690078349  0.0   0.0000000000  -0.1914182634   0.3315469799
   3.5476412974   7.1914868572  0.0   0.0000000000  -0.1817094328   0.3147308007
   3.5584126935   7.1167512844  0.0   0.0000000000  -0.1712922347   0.2966876944
   3.5691840897   7.0454614180  0.0   0.0000000000  -0.1602321336   0.2775310485
   3.5799554858   6.9782565338  0.0   0.0000000000  -0.1485786403   0.2573466186
   3.5907268819   6.9157447608  0.0   0.0000000000  -0.1363653779   0.2361926414
   3.6014982781   6.8584924868  0.0   0.0000000000  -0.1236105290   0.2141006103
   3.6122696742   6.8070133841  0.0   0.0000000000  -0.1103175781   0.1910765606
   3.6230410704   6.7617572032  0.0   0.0000000000  -0.0964762994   0.1671027807
   3.6338124665   6.7230985420  0.0   0.0000000000  -0.0820639875   0.1421399442
   3.6445838626   6.6913258545  0.0   0.0000000000  -0.0670469782   0.1161297426
   3.6553552588   6.6666310049  0.0   0.0000000000  -0.0513825589   0.0889981959
   3.6661266549   6.6490997141  0.0   0.0000000000  -0.0350214337   0.0606599213
   3.6768980510   6.6387032664  0.0   0.0000000000  -0.0179109661   0.0310237494
   3.6876694472   6.6352918731  0.0   0.0000000000   0.0000000000   0.0000000000
   3.6876694472   6.6352918731  0.0   0.0000000000   0.0000000000   0.0000000000
   3.7092122394   6.6481953244  0.0   0.0000000000   0.0383923595   0.0664968627
   3.7307550317   6.6840863155  0.0   0.0000000000   0.0802867193   0.1390600743
   3.7522978240   6.7373383581  0.0   0.0000000000   0.1252463284   0.2169324561
   3.7738406163   6.8008450837  0.0   0.0000000000   0.1718691108   0.2976855421
   3.7953834085   6.8668607501  0.0   0.0000000000   0.2175448454   0.3767982973
   3.8169262008   6.9282557142  0.0   0.0000000000   0.2587430115   0.4481556790
   3.8384689931   6.9798971458  0.0   0.0000000000   0.2920306517   0.5058116278
   3.8600117853   7.0195831417  0.0   0.0000000000   0.3153495108   0.5462011373
   3.8815545776   7.0480743242  0.0   0.0000000000   0.3286328474   0.5692086049
   3.9030973699   7.0683140298  0.0   0.0000000000   0.3333914796   0.5774508426
   3.9246401622   7.0843611591  0.0   0.0000000000   0.3317912984   0.5746792835
   3.9461829544   7.1005052510  0.0   0.0000000000   0.3258975989   0.5644711248
   3.9677257467   7.1207232113  0.0   0.0000000000   0.3173250812   0.5496231104
   3.9892685390   7.1484156694  0.0   0.0000000000   0.3071886025   0.5320662309
   4.0108113313   7.1863044298  0.0   0.0000000000   0.2961858178   0.5130088614
   4.0323541235   7.2363994117  0.0   0.0000000000   0.2847045099   0.4931226622
   4.0538969158   7.2999821696  0.0   0.0000000000   0.2729100127   0.4726940010
